날짜,금액,소분류,업종코드,대분류,중분류
2023.10.7,-21560,온라인거래,ss068,전자상거래,전자상거래
2023.10.6,-6700,패스트푸드,ss007,요식/유흥,제과/커피/패스트푸드
2023.10.6,-23210,서점,ss031,스포츠/문화/레저,스포츠/문화/레저
2023.10.6,-1800,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.10.6,-30000,온라인거래,ss068,전자상거래,전자상거래
2023.10.5,-3500,슈퍼마켓,ss014,유통,할인점/슈퍼마켓
2023.10.5,-9000,한식,ss001,요식/유흥,한식
2023.10.5,-1500,교통,ss040,여행/교통,교통
2023.10.4,-7200,화장품,ss043,미용,화장품
2023.10.4,-7500,일식,ss002,요식/유흥,일식/중식/양식
2023.10.3,-5860,슈퍼마켓,ss014,유통,할인점/슈퍼마켓
2023.10.2,-10500,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.9.30,-4990,온라인거래,ss068,전자상거래,전자상거래
2023.9.29,-12500,온라인거래,ss068,전자상거래,전자상거래
2023.9.29,-12500,온라인거래,ss068,전자상거래,전자상거래
2023.9.29,-1250,교통,ss040,여행/교통,교통
2023.9.27,-12100,패스트푸드,ss007,요식/유흥,제과/커피/패스트푸드
2023.9.27,-17300,교통,ss040,여행/교통,교통
2023.9.27,20600,교통,ss040,여행/교통,교통
2023.9.27,-9000,한식,ss001,요식/유흥,한식
2023.9.27,-17300,교통,ss040,여행/교통,교통
2023.9.26,-5580,슈퍼마켓,ss014,유통,할인점/슈퍼마켓
2023.9.26,-9000,한식,ss001,요식/유흥,한식
2023.9.26,-3200,편의점,ss016,유통,편의점
2023.9.25,-9000,생활잡화,ss015,유통,할인점/슈퍼마켓
2023.9.25,-8500,한식,ss001,요식/유흥,한식
2023.9.25,-1800,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.9.25,-1650,교통,ss040,여행/교통,교통
2023.9.24,-6000,생활잡화,ss015,유통,할인점/슈퍼마켓
2023.9.24,-6000,생활잡화,ss015,유통,할인점/슈퍼마켓
2023.9.24,-1350,교통,ss040,여행/교통,교통
2023.9.23,-27700,화장품,ss043,미용,화장품
2023.9.23,-12900,의복/의류,ss021,의류/잡화,의복/의류
2023.9.22,-1700,편의점,ss016,유통,편의점
2023.9.22,-26300,기타요식,ss008,요식/유흥,기타요식
2023.9.22,-4990,슈퍼마켓,ss014,유통,할인점/슈퍼마켓
2023.9.22,-185000,호텔/콘도,ss035,여행/교통,숙박
2023.9.22,-2700,교통,ss040,여행/교통,교통
2023.9.21,-93000,결제대행(PG),ss069,전자상거래,전자상거래
2023.9.21,-39000,양식,ss003,요식/유흥,일식/중식/양식
2023.9.21,-11000,일식,ss002,요식/유흥,일식/중식/양식
2023.9.21,-2700,교통,ss040,여행/교통,교통
2023.9.21,-300,생활서비스,ss044,가정생활/서비스,서비스
2023.9.20,-1700,편의점,ss016,유통,편의점
2023.9.20,-9000,한식,ss001,요식/유흥,한식
2023.9.20,-1000,편의점,ss016,유통,편의점
2023.9.19,-2000,생활잡화,ss015,유통,할인점/슈퍼마켓
2023.9.19,-8500,슈퍼마켓,ss014,유통,할인점/슈퍼마켓
2023.9.19,-5400,교통,ss040,여행/교통,교통
2023.9.18,-3300,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.9.18,-9000,한식,ss001,요식/유흥,한식
2023.9.18,-1750,교통,ss040,여행/교통,교통
2023.9.18,-2600,교통,ss040,여행/교통,교통
2023.9.16,-10000,기타요식,ss008,요식/유흥,기타요식
2023.9.15,-5300,편의점,ss016,유통,편의점
2023.9.15,-2000,생활잡화,ss015,유통,할인점/슈퍼마켓
